image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
1,0.1717,0.014,37.0896,0.6205,0.3283,0.0,45.6209,0.0019,0.0021,8.9003
2,0.1776,0.0118,38.5418,0.6356,0.3224,0.0,45.3368,0.0021,0.0003,1.1117
3,0.3471,0.0094,40.4919,0.726,0.3326,0.0,43.6773,0.0017,0.0012,1.0938
4,0.112,0.0129,37.7731,0.5857,0.3313,0.0,45.7518,0.0018,0.0008,1.1142
5,0.1734,0.0119,38.5033,0.674,0.309,0.0,44.8763,0.0018,0.0007,1.1234
6,0.0969,0.0132,37.5794,0.5746,0.3197,0.0,45.6175,0.0017,0.0005,1.1036
7,0.1511,0.0126,38.004,0.6148,0.3516,0.0,45.3282,0.0017,0.0006,1.1109
8,0.3557,0.0105,39.5908,0.7616,0.3449,0.0,44.119,0.0022,0.0014,1.1031
9,0.2047,0.0128,37.8898,0.6393,0.2951,0.0,45.3391,0.0021,-0.0006,1.1205
10,0.1456,0.0152,36.3684,0.5571,0.3257,0.0,45.5464,0.0017,0.0013,1.1036
11,0.3587,0.009,40.901,0.7693,0.3479,0.0,43.8442,0.0018,0.0012,1.1211
12,0.2098,0.0141,37.0191,0.652,0.2642,0.0,46.0178,0.0026,0.0004,1.0999
13,0.1526,0.0161,35.8396,0.5377,0.3365,0.0,45.2344,0.0009,0.0001,1.1211
14,0.1561,0.0127,37.8904,0.5997,0.3344,0.0,45.3592,0.0017,0.0009,1.1036
15,0.4216,0.0091,40.8448,0.7446,0.3533,0.0,42.75,0.0011,0.0001,1.1283
16,0.2281,0.0113,38.9097,0.6782,0.2939,0.0,45.5417,0.0024,0.0012,1.0997
17,0.1912,0.0121,38.359,0.641,0.3154,0.0,45.7169,0.0021,0.0019,1.1215
18,0.2014,0.0107,39.4099,0.7004,0.3097,0.0,45.1084,0.0021,0.0,1.1048
19,0.322,0.0093,40.6569,0.7526,0.3409,0.0,44.0175,0.002,0.0018,1.1175
20,0.1646,0.014,37.0844,0.597,0.3102,0.0,45.5903,0.0019,0.0008,1.101
21,0.132,0.0139,37.1545,0.5799,0.3461,0.0,45.7,0.002,0.0009,1.1114
22,0.2629,0.0127,37.9089,0.6722,0.318,0.0,44.3525,0.0018,0.0007,1.1029
23,0.2619,0.013,37.7258,0.6615,0.3368,0.0,43.6989,0.0009,-0.0001,1.1221
24,0.3074,0.0093,40.6305,0.7658,0.2916,0.0,45.2684,0.0028,0.002,1.1017
25,0.3299,0.0126,38.0034,0.6352,0.3449,0.0,44.446,0.0012,0.0006,1.1135
26,0.1686,0.0109,39.233,0.6469,0.3316,0.0,44.7139,0.0016,0.0015,1.0996
27,0.331,0.0101,39.9027,0.737,0.3143,0.0,44.5404,0.0022,0.0011,1.1191
28,0.3651,0.009,40.9165,0.7707,0.3332,0.0,43.6006,0.0019,0.0017,1.1064
29,0.2289,0.013,37.7235,0.634,0.331,0.0,45.0945,0.002,0.0005,1.1147
30,0.1502,0.0144,36.8525,0.5665,0.3273,0.0,45.4609,0.0017,0.001,1.0994
31,0.2083,0.0113,38.9597,0.6825,0.3087,0.0,44.9427,0.0019,0.0002,1.1169
32,0.1584,0.0103,39.7388,0.6875,0.3291,0.0,45.4906,0.0024,0.0015,1.0991
33,0.1341,0.0123,38.168,0.6452,0.3408,0.0,45.1599,0.0018,-0.0,1.1274
34,0.292,0.0105,39.5914,0.7053,0.3215,0.0,43.9882,0.0016,0.0003,1.1037
35,0.2918,0.0121,38.3482,0.6892,0.2912,0.0,44.2961,0.0019,0.0008,1.1253
36,0.3493,0.0092,40.734,0.7407,0.3673,0.0,43.7714,0.0017,0.0012,1.1009
37,0.3406,0.0091,40.8034,0.7618,0.3302,0.0,44.1575,0.0021,0.0013,1.1173
