image,recall,rmse,psnr,ssim,fsim,issm,sre,sam,uiq,inference_time
1,0.4748,0.0076,42.364,0.7882,0.3888,0.0,42.1174,0.0006,0.0027,8.8617
2,0.2913,0.0096,40.3465,0.7148,0.3784,0.0,44.7794,0.0018,0.0028,1.1156
3,0.537,0.0068,43.3282,0.8261,0.3967,0.0,42.4432,0.001,0.0036,1.0891
4,0.5544,0.0076,42.4285,0.7911,0.4377,0.0,42.2281,0.0007,0.0179,1.1125
5,0.6132,0.0063,43.9658,0.8428,0.4001,0.0,41.7567,0.0008,0.0038,1.1027
6,0.4033,0.0105,39.5739,0.7255,0.3927,0.0,43.4847,0.0008,0.0027,1.0913
7,0.5442,0.0076,42.433,0.7894,0.4129,0.0,42.122,0.0007,0.0126,1.1093
8,0.593,0.0061,44.2857,0.8587,0.3669,0.0,41.7503,0.001,0.005,1.1072
9,0.5236,0.0095,40.4907,0.8041,0.3771,0.0,43.6635,0.0017,0.0165,1.0993
10,0.4852,0.0069,43.1731,0.8324,0.3854,0.0,42.1511,0.0009,0.004,1.1117
11,0.4393,0.0066,43.5719,0.8131,0.3489,0.0,42.6821,0.001,0.0054,1.1082
12,0.4194,0.0088,41.1576,0.7514,0.3911,0.0,43.0223,0.0009,0.0064,1.0953
13,0.6447,0.0075,42.4914,0.8412,0.4006,0.0,42.0001,0.0011,0.0055,1.1188
14,0.6595,0.0059,44.5337,0.8746,0.3828,0.0,41.7291,0.0009,0.0028,1.0941
15,0.5261,0.0073,42.7084,0.8347,0.3875,0.0,42.6345,0.0011,0.0069,1.1151
16,0.6227,0.0073,42.7416,0.8312,0.4182,0.0,42.7357,0.0011,0.0069,1.1102
17,0.4271,0.0073,42.7623,0.796,0.3812,0.0,42.3952,0.0011,0.0093,1.0958
18,0.5283,0.0076,42.33,0.7838,0.4198,0.0,41.8745,0.0005,0.0024,1.1182
19,0.5892,0.0062,44.1121,0.8581,0.4091,0.0,42.796,0.0014,0.0131,1.0943
20,0.4427,0.0065,43.709,0.8224,0.3777,0.0,42.4729,0.0008,0.0024,1.1087
21,0.6485,0.0059,44.6381,0.8653,0.3899,0.0,41.9254,0.0014,0.0055,1.1137
22,0.5095,0.0074,42.643,0.816,0.3692,0.0,42.9709,0.0011,0.0024,1.0964
23,0.5436,0.0078,42.1505,0.8135,0.3738,0.0,42.872,0.0011,0.0025,1.1167
24,0.6034,0.0064,43.8748,0.8643,0.3852,0.0,43.3115,0.0018,0.0154,1.1106
25,0.5303,0.0066,43.5818,0.8384,0.3794,0.0,43.0435,0.0016,0.0085,1.0944
26,0.6327,0.0059,44.5783,0.8654,0.3883,0.0,42.3077,0.0015,0.0066,1.1169
27,0.4843,0.0064,43.9165,0.8273,0.3636,0.0,41.994,0.0008,0.0046,1.0933
28,0.3313,0.0072,42.8636,0.7925,0.3727,0.0,43.0746,0.0011,0.0061,1.116
29,0.5971,0.0074,42.5779,0.8121,0.4118,0.0,42.6249,0.0009,0.0052,1.0936
30,0.5691,0.0061,44.3062,0.8612,0.3799,0.0,42.67,0.0017,0.008,1.1123
31,0.6066,0.0058,44.7979,0.8727,0.3601,0.0,42.0895,0.0012,0.0071,1.0922
32,0.5014,0.0064,43.8568,0.8317,0.3732,0.0,42.3617,0.0014,0.0047,1.1083
33,0.3574,0.0073,42.7881,0.7821,0.3792,0.0,42.9129,0.0008,0.0039,1.1146
34,0.4624,0.0076,42.4394,0.8148,0.3771,0.0,42.807,0.0011,0.005,1.095
35,0.5874,0.0076,42.4147,0.8182,0.3626,0.0,42.9584,0.0012,0.0078,1.1167
36,0.4882,0.0069,43.161,0.8251,0.382,0.0,42.9726,0.0012,0.0047,1.0942
37,0.5049,0.006,44.4391,0.8601,0.3702,0.0,42.4031,0.0011,0.0025,1.1246
38,0.5347,0.0076,42.409,0.7859,0.4148,0.0,41.884,0.0006,0.0027,1.0941
39,0.6174,0.0061,44.2342,0.865,0.3718,0.0,42.0671,0.0011,0.0064,1.1131
40,0.6054,0.0067,43.4768,0.8301,0.4051,0.0,41.6167,0.0007,0.0039,1.0968
41,0.6124,0.0069,43.1861,0.8282,0.4064,0.0,42.6358,0.0011,0.0142,1.1118
42,0.3979,0.0109,39.2753,0.7375,0.389,0.0,44.53,0.0012,0.0042,1.0925
43,0.6033,0.0061,44.3503,0.8656,0.3786,0.0,42.3408,0.0011,0.002,1.1083
44,0.4014,0.0068,43.4117,0.7967,0.3668,0.0,42.3908,0.0007,0.008,1.0955
45,0.6097,0.0069,43.2707,0.8214,0.3993,0.0,41.9636,0.0007,0.0076,1.1155
46,0.4944,0.0065,43.7662,0.8381,0.3821,0.0,43.3506,0.0016,0.0203,1.1116
47,0.5823,0.0062,44.0939,0.8555,0.3933,0.0,42.376,0.0011,0.0031,1.0956
48,0.5596,0.0076,42.3787,0.7904,0.4291,0.0,42.2415,0.0008,0.0194,1.1117
49,0.5849,0.0069,43.2582,0.8328,0.3705,0.0,42.6756,0.0011,0.0043,1.0948
50,0.604,0.0066,43.5613,0.8574,0.3957,0.0,43.5237,0.0014,0.0223,1.1102
51,0.2784,0.0115,38.7746,0.6419,0.4438,0.0,43.8262,0.0006,0.0009,1.1109
52,0.5829,0.0068,43.3043,0.8411,0.3874,0.0,42.771,0.0013,0.0087,1.0958
53,0.519,0.0082,41.7021,0.7666,0.4089,0.0,43.5271,0.0009,0.0135,1.1244
54,0.5783,0.0078,42.1763,0.8232,0.3905,0.0,42.4546,0.0011,0.0062,1.1012
55,0.626,0.0064,43.8286,0.858,0.417,0.0,41.2924,0.0008,0.004,1.0948
56,0.6263,0.0069,43.21,0.845,0.3733,0.0,42.2121,0.0011,0.0019,1.1158
57,0.5169,0.0069,43.2621,0.812,0.4375,0.0,43.0209,0.0009,0.0198,1.0927
58,0.7039,0.0059,44.5353,0.8814,0.4033,0.0,41.5278,0.0011,0.005,1.1068
59,0.5249,0.0067,43.4256,0.808,0.3846,0.0,42.073,0.0009,0.0054,1.1092
60,0.4564,0.0073,42.7473,0.7843,0.4065,0.0,42.1302,0.0006,0.0011,1.0939
61,0.6826,0.0058,44.7272,0.8713,0.3954,0.0,41.3075,0.0008,0.002,1.1135
62,0.4504,0.0066,43.5719,0.8166,0.3731,0.0,42.4369,0.0009,0.0063,1.0924
63,0.5467,0.0064,43.8899,0.8486,0.4089,0.0,43.0458,0.0018,0.01,1.1198
64,0.5259,0.0076,42.3565,0.782,0.4261,0.0,41.909,0.0006,0.0067,1.1019
